DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,,,,
3ba98e9b-146f-434e-9dea-640fc7b6ac3a,316572,OB2017Tank1,8/31/2017 11:41,21.5,21.5° C,100,,,7/21/2017 21:36,23.1
aeadf8cf-7989-411f-b45a-9b4abfed8973,316572,OB2017Tank1,8/31/2017 11:31,21.5,21.5° C,100,,,7/21/2017 21:45,23.1
3bba7cdc-6ddd-4466-83c4-b497dbc6ad68,316572,OB2017Tank1,8/31/2017 11:21,21.4,21.4° C,100,,,7/21/2017 21:55,23
ad66c9ab-6b3e-4fca-af0b-c1e067c2fa95,316572,OB2017Tank1,8/31/2017 11:11,21.5,21.5° C,100,,,7/21/2017 22:05,23.1
7b535fec-e90f-46c0-b9d4-04793123f10a,316572,OB2017Tank1,8/31/2017 11:01,21.5,21.5° C,100,,,7/21/2017 22:15,23.2
80df8f34-8be8-4d11-9c53-ef909e8e5c8d,316572,OB2017Tank1,8/31/2017 10:51,21.5,21.5° C,100,,,7/21/2017 22:25,23.1
39292653-e62e-4e66-b3ac-2211d3452af6,316572,OB2017Tank1,8/31/2017 10:42,21.5,21.5° C,100,,,7/21/2017 22:35,23.1
1d14dae4-4cf6-46b5-ab66-e3cc1de0e915,316572,OB2017Tank1,8/31/2017 10:32,21.4,21.4° C,100,,,7/21/2017 22:45,23.1
48eb8a61-6179-42ec-a1ba-a1277e70433f,316572,OB2017Tank1,8/31/2017 10:22,21.4,21.4° C,100,,,7/21/2017 22:55,23.1
0ff96a74-9599-4692-abb6-46985c7dadb0,316572,OB2017Tank1,8/31/2017 10:12,21.5,21.5° C,100,,,7/21/2017 23:04,23.1
1316c477-0411-4454-bebc-defaf233f723,316572,OB2017Tank1,8/31/2017 10:02,21.5,21.5° C,100,,,7/21/2017 23:14,23.1
77b3299a-ad98-4a5b-9453-f9c45db8492f,316572,OB2017Tank1,8/31/2017 9:52,21.5,21.5° C,100,,,7/21/2017 23:24,23.1
